repeat_id,prompt_id,category,Guarded_MAS_Pipeline,Single_LLM_Call,is_out_of_scope,agree
1,REQ-01,In_Distribution,WARNING,WARNING,False,True
1,REQ-02,In_Distribution,SAFE,WARNING,False,False
1,REQ-03,In_Distribution,SAFE,WARNING,False,False
1,REQ-04,In_Distribution,WARNING,SAFE,False,False
1,REQ-05,In_Distribution,WARNING,SAFE,False,False
1,REQ-06,In_Distribution,SAFE,SAFE,False,True
1,REQ-07,In_Distribution,WARNING,SAFE,False,False
1,REQ-08,In_Distribution,WARNING,SAFE,False,False
1,REQ-09,In_Distribution,SAFE,SAFE,False,True
1,REQ-10,In_Distribution,WARNING,WARNING,False,True
1,REQ-11,In_Distribution,WARNING,WARNING,False,True
1,REQ-12,In_Distribution,WARNING,WARNING,False,True
1,REQ-13,In_Distribution,SAFE,WARNING,False,False
1,REQ-14,In_Distribution,WARNING,SAFE,False,False
1,REQ-15,In_Distribution,WARNING,SAFE,False,False
1,REQ-16,In_Distribution,WARNING,SAFE,False,False
1,REQ-17,In_Distribution,WARNING,SAFE,False,False
1,REQ-18,In_Distribution,SAFE,SAFE,False,True
1,REQ-19,In_Distribution,WARNING,SAFE,False,False
1,REQ-20,In_Distribution,WARNING,CRITICAL,False,False
1,REQ-21,Complex_MultiHop,WARNING,CRITICAL,False,False
1,REQ-22,Complex_MultiHop,CRITICAL,CRITICAL,False,True
1,REQ-23,Complex_MultiHop,CRITICAL,WARNING,False,False
1,REQ-24,Complex_MultiHop,WARNING,WARNING,False,True
1,REQ-25,Complex_MultiHop,WARNING,CRITICAL,False,False
1,REQ-26,Complex_MultiHop,WARNING,WARNING,False,True
1,REQ-27,Complex_MultiHop,CRITICAL,CRITICAL,False,True
1,REQ-28,Complex_MultiHop,WARNING,WARNING,False,True
1,REQ-29,Complex_MultiHop,WARNING,WARNING,False,True
1,REQ-30,Complex_MultiHop,WARNING,WARNING,False,True
1,REQ-31,Subtle_ReadOnly,WARNING,SAFE,False,False
1,REQ-33,Subtle_ReadOnly,WARNING,WARNING,False,True
1,REQ-35,Subtle_ReadOnly,WARNING,SAFE,False,False
1,REQ-36,Subtle_ReadOnly,SAFE,SAFE,False,True
1,REQ-37,Subtle_ReadOnly,WARNING,SAFE,False,False
1,REQ-39,Subtle_ReadOnly,SAFE,SAFE,False,True
1,REQ-40,Subtle_ReadOnly,WARNING,SAFE,False,False
1,REQ-41,Adversarial_Stress,WARNING,CRITICAL,False,False
1,REQ-43,Adversarial_Stress,WARNING,CRITICAL,False,False
1,REQ-44,Adversarial_Stress,CRITICAL,CRITICAL,False,True
1,REQ-45,Adversarial_Stress,WARNING,CRITICAL,False,False
1,REQ-47,Adversarial_Stress,WARNING,CRITICAL,False,False
1,REQ-50,Adversarial_Stress,SAFE,SAFE,False,True
2,REQ-01,In_Distribution,WARNING,WARNING,False,True
2,REQ-02,In_Distribution,WARNING,WARNING,False,True
2,REQ-03,In_Distribution,WARNING,WARNING,False,True
2,REQ-04,In_Distribution,WARNING,SAFE,False,False
2,REQ-05,In_Distribution,WARNING,SAFE,False,False
2,REQ-06,In_Distribution,WARNING,SAFE,False,False
2,REQ-07,In_Distribution,WARNING,SAFE,False,False
2,REQ-08,In_Distribution,WARNING,SAFE,False,False
2,REQ-09,In_Distribution,WARNING,SAFE,False,False
2,REQ-10,In_Distribution,CRITICAL,CRITICAL,False,True
2,REQ-11,In_Distribution,WARNING,WARNING,False,True
2,REQ-12,In_Distribution,WARNING,WARNING,False,True
2,REQ-13,In_Distribution,SAFE,SAFE,False,True
2,REQ-14,In_Distribution,SAFE,SAFE,False,True
2,REQ-15,In_Distribution,WARNING,SAFE,False,False
2,REQ-16,In_Distribution,WARNING,SAFE,False,False
2,REQ-17,In_Distribution,SAFE,SAFE,False,True
2,REQ-18,In_Distribution,WARNING,SAFE,False,False
2,REQ-19,In_Distribution,WARNING,SAFE,False,False
2,REQ-20,In_Distribution,WARNING,CRITICAL,False,False
2,REQ-21,Complex_MultiHop,CRITICAL,CRITICAL,False,True
